Quartile,Region,Without DNSSEC (pub),With Valid DNSSEC (pub),With Invalid DNSSEC (pub),Without DNSSEC (pvt),With Valid DNSSEC (pvt),With Invalid DNSSEC (pvt)
1,Arizona,50.0,50.0,0.0,95.65217391304348,4.3478260869565215,0.0
1,New Mexico,100.0,0.0,0.0,50.0,50.0,0.0
1,Iowa,66.66666666666666,33.33333333333333,0.0,93.54838709677419,6.451612903225806,0.0
1,Kansas,87.5,12.5,0.0,77.77777777777779,22.22222222222222,0.0
1,Utah,66.66666666666666,33.33333333333333,0.0,100.0,0.0,0.0
1,Pennsylvania,76.19047619047619,23.809523809523807,0.0,94.25287356321839,5.747126436781609,0.0
1,Oregon,77.77777777777779,22.22222222222222,0.0,95.0,5.0,0.0
1,Wisconsin,80.0,20.0,0.0,95.23809523809523,4.761904761904762,0.0
1,Colorado,85.71428571428571,14.285714285714285,0.0,90.9090909090909,9.090909090909092,0.0
1,California,84.375,15.625,0.0,93.89312977099237,6.106870229007633,0.0
1,Maryland,85.71428571428571,14.285714285714285,0.0,94.44444444444444,5.555555555555555,0.0
1,Michigan,93.33333333333333,6.666666666666667,0.0,90.625,9.375,0.0
1,Oklahoma,92.85714285714286,7.142857142857142,0.0,91.66666666666666,8.333333333333332,0.0
2,South Dakota,85.71428571428571,14.285714285714285,0.0,100.0,0.0,0.0
2,Washington,100.0,0.0,0.0,86.36363636363636,13.636363636363635,0.0
2,Tennessee,90.0,10.0,0.0,96.875,3.125,0.0
2,Massachusetts,92.3076923076923,7.6923076923076925,0.0,95.08196721311475,4.918032786885246,0.0
2,Missouri,92.3076923076923,7.6923076923076925,0.0,95.1219512195122,4.878048780487805,0.0
2,Louisiana,87.5,12.5,0.0,100.0,0.0,0.0
2,Arkansas,88.88888888888889,11.11111111111111,0.0,100.0,0.0,0.0
2,Rhode Island,100.0,0.0,0.0,88.88888888888889,11.11111111111111,0.0
2,Texas,92.6829268292683,7.317073170731707,0.0,96.96969696969697,3.0303030303030303,0.0
2,Georgia,94.73684210526315,5.263157894736842,0.0,97.05882352941177,2.941176470588235,0.0
2,Nebraska,100.0,0.0,0.0,85.71428571428571,7.142857142857142,7.142857142857142
2,Ohio,100.0,0.0,0.0,92.98245614035088,7.017543859649122,0.0
3,Illinois,100.0,0.0,0.0,93.33333333333333,6.666666666666667,0.0
3,New Jersey,100.0,0.0,0.0,93.93939393939394,6.0606060606060606,0.0
3,Indiana,100.0,0.0,0.0,94.5945945945946,5.405405405405405,0.0
3,New York,97.5,2.5,0.0,97.76119402985076,2.2388059701492535,0.0
3,North Carolina,100.0,0.0,0.0,95.55555555555556,4.444444444444445,0.0
3,South Carolina,100.0,0.0,0.0,95.65217391304348,4.3478260869565215,0.0
3,Minnesota,100.0,0.0,0.0,96.7741935483871,3.225806451612903,0.0
3,Florida,100.0,0.0,0.0,98.30508474576271,1.694915254237288,0.0
3,Alabama,100.0,0.0,0.0,100.0,0.0,0.0
3,Vermont,100.0,0.0,0.0,100.0,0.0,0.0
3,Virginia,100.0,0.0,0.0,100.0,0.0,0.0
3,West Virginia,100.0,0.0,0.0,100.0,0.0,0.0
4,Nevada,100.0,0.0,0.0,100.0,0.0,0.0
4,Alaska,100.0,0.0,0.0,100.0,0.0,0.0
4,Connecticut,100.0,0.0,0.0,100.0,0.0,0.0
4,Delaware,100.0,0.0,0.0,100.0,0.0,0.0
4,District of Columbia,100.0,0.0,0.0,100.0,0.0,0.0
4,North Dakota,100.0,0.0,0.0,100.0,0.0,0.0
4,New Hampshire,100.0,0.0,0.0,100.0,0.0,0.0
4,Hawaii,100.0,0.0,0.0,100.0,0.0,0.0
4,Kentucky,100.0,0.0,0.0,100.0,0.0,0.0
4,Maine,100.0,0.0,0.0,100.0,0.0,0.0
4,Mississippi,100.0,0.0,0.0,100.0,0.0,0.0
4,Montana,100.0,0.0,0.0,100.0,0.0,0.0
4,Idaho,100.0,0.0,0.0,100.0,0.0,0.0
4,Wyoming,100.0,0.0,0.0,0.0,0.0,0.0
4,Total,93.25044404973357,6.74955595026643,0.0,95.40636042402826,4.522968197879859,0.0706713780918728
